,country,cdn,values
172,AE,akamai,138.44336
173,AE,akamai,133.54031
174,AE,akamai,133.885855
175,AE,akamai,130.353995
176,AE,akamai,130.181895
177,AE,akamai,130.2643
178,AE,akamai,134.79192
179,AE,akamai,134.598775
180,AE,akamai,134.53905
181,AE,akamai,177.57277
182,AE,akamai,181.789545
183,AE,akamai,178.166945
184,AE,akamai,131.005305
185,AE,akamai,130.746775
186,AE,akamai,130.818905
187,AE,akamai,134.371885
188,AE,akamai,134.3154
189,AE,akamai,134.28288
190,AE,akamai,131.65305
191,AE,akamai,132.520165
192,AE,akamai,131.286475
193,AE,akamai,134.1464
194,AE,akamai,134.33851
195,AE,akamai,134.994505
196,AE,akamai,130.217735
197,AE,akamai,130.029145
198,AE,akamai,130.594955
199,AE,akamai,133.855165
200,AE,akamai,133.93134
201,AE,akamai,133.82995
202,AE,akamai,130.278535
203,AE,akamai,130.24263
204,AE,akamai,131.87232
205,AE,akamai,145.329775
206,AE,akamai,138.35376
207,AE,akamai,145.816185
208,AE,akamai,131.1021
209,AE,akamai,132.29791
210,AE,akamai,130.830275
211,AE,akamai,134.93083
212,AE,akamai,134.341275
213,AE,akamai,135.394715
214,AE,akamai,131.016135
215,AE,akamai,130.66704
216,AE,akamai,132.69304
217,AE,akamai,134.673395
218,AE,akamai,133.58599
219,AE,akamai,133.748855
220,AE,akamai,130.22506
221,AE,akamai,130.04727
222,AE,akamai,130.18042
223,AE,akamai,130.099345
224,AE,akamai,130.2534
225,AE,akamai,130.12457
226,AE,akamai,205.500425
227,AE,akamai,205.93099
228,AE,akamai,204.66937
229,AE,akamai,217.80122
230,AE,akamai,218.19069
231,AE,akamai,218.17958
232,AE,akamai,165.734145
233,AE,akamai,167.080805
234,AE,akamai,137.644475
235,AE,akamai,201.07504
236,AE,akamai,201.876035
237,AE,akamai,202.294635
238,AE,akamai,130.836985
239,AE,akamai,129.959605
240,AE,akamai,130.42404
241,AE,akamai,136.68181
242,AE,akamai,135.757525
243,AE,akamai,135.743535
244,AE,akamai,130.21346
245,AE,akamai,130.045535
246,AE,akamai,130.9996
247,AE,akamai,182.749125
248,AE,akamai,182.388385
249,AE,akamai,181.89111
250,AE,akamai,130.369025
251,AE,akamai,132.04154
252,AE,akamai,131.5106
253,AE,akamai,262.194415
254,AE,akamai,265.34648
255,AE,akamai,268.709755
256,AE,akamai,186.71585
257,AE,akamai,187.77391
258,AE,akamai,198.63329
259,AE,akamai,274.46521
260,AE,akamai,270.23493
261,AE,akamai,271.399985
262,AE,akamai,130.562945
263,AE,akamai,131.85576
264,AE,akamai,130.18784
265,AE,akamai,141.4445
266,AE,akamai,140.89428
267,AE,akamai,140.55881
268,AE,akamai,129.819205
269,AE,akamai,129.76535
270,AE,akamai,129.73348
271,AE,akamai,130.619585
272,AE,akamai,130.10638
273,AE,akamai,130.019785
274,AE,akamai,140.97011
275,AE,akamai,140.82978
276,AE,akamai,140.291795
277,AE,akamai,272.147995
278,AE,akamai,280.050715
279,AE,akamai,131.679385
280,AE,akamai,130.245745
281,AE,akamai,130.30663
282,AE,akamai,130.601355
283,AE,akamai,130.964205
284,AE,akamai,130.227515
285,AE,akamai,260.839915
286,AE,akamai,261.622705
287,AE,akamai,263.517155
288,AE,akamai,140.935755
289,AE,akamai,140.903085
290,AE,akamai,140.90264
291,AE,akamai,130.58875
292,AE,akamai,129.710995
293,AE,akamai,129.631015
294,AE,akamai,129.807075
295,AE,akamai,129.53286
296,AE,akamai,129.69021
297,AE,akamai,141.85019
298,AE,akamai,141.199765
299,AE,akamai,141.498285
300,AE,akamai,130.99643
301,AE,akamai,130.66991
302,AE,akamai,130.5569
303,AE,akamai,238.862335
304,AE,akamai,243.287215
305,AE,akamai,240.788925
306,AE,akamai,267.659535
307,AE,akamai,266.17116
308,AE,akamai,129.809965
309,AE,akamai,129.64212
310,AE,akamai,130.447555
311,AE,akamai,140.80908
312,AE,akamai,140.91329
313,AE,akamai,141.01956
314,AE,akamai,131.10577
315,AE,akamai,129.56393
316,AE,akamai,129.65496
